Country Name,Year,GDPpC,Data.Daily cigarettes,Data.Percentage.Male,Data.Percentage.Female,Data.Percentage.Total,Data.Smokers.Total,Data.Smokers.Female,Data.Smokers.Male
Albania,1980-01-01,639.484735848211,18.700001,21.299999,38.400002,3.4000001,360902,27584,333318
Albania,1981-01-01,639.484735848211,18.4,21.299999,38.400002,3.3,371658,28413,343245
Albania,1982-01-01,639.484735848211,18.200001,21.299999,38.400002,3.3,382557,29246,353311
Albania,1983-01-01,639.484735848211,17.9,21.299999,38.400002,3.3,393867,30082,363785
Albania,1984-01-01,639.484735848211,17.700001,21.299999,38.400002,3.3,405919,30947,374972
Albania,1985-01-01,639.865909445734,17.5,21.299999,38.400002,3.3,418871,31869,387002
Albania,1986-01-01,693.873474633887,17.299999,21.299999,38.299999,3.3,433002,32809,400193
Albania,1987-01-01,674.793383069492,17.0,21.299999,38.299999,3.3,448005,33774,414231
Albania,1988-01-01,652.774321396566,16.799999,21.299999,38.299999,3.3,462614,34717,427897
Albania,1989-01-01,697.995596576519,16.5,21.200001,38.299999,3.3,474490,35487,439003
Albania,1990-01-01,617.230435515505,16.4,21.200001,38.299999,3.3,482850,36047,446803
Albania,1991-01-01,336.586994504629,16.299999,21.299999,38.5,3.2,487892,36412,451479
Albania,1992-01-01,200.852219772323,16.299999,21.299999,38.700001,3.2,489417,36574,452844
Albania,1993-01-01,367.279225077581,16.200001,21.299999,38.900002,3.2,488078,36552,451527
Albania,1994-01-01,586.416133065074,16.1,21.4,39.099998,3.2,485775,36458,449317
Albania,1995-01-01,750.604449178826,16.1,21.299999,39.200001,3.2,483593,36355,447238
Albania,1996-01-01,1009.97711375563,16.0,21.200001,39.299999,3.2,481723,36235,445488
Albania,1997-01-01,717.380047745673,16.299999,20.9,38.799999,3.2,475222,35989,439233
Albania,1998-01-01,813.789396580449,16.5,20.6,38.400002,3.0999999,470397,35767,434630
Albania,1999-01-01,1033.24253162418,16.700001,20.299999,38.0,3.0999999,465894,35466,430428
Albania,2000-01-01,1126.68334010717,16.799999,20.0,37.599998,3.0,461078,35035,426043
Albania,2001-01-01,1281.6598256178,17.1,19.700001,37.0,2.9000001,455877,34513,421364
Albania,2002-01-01,1425.12421860142,17.4,19.4,36.400002,2.9000001,450636,34027,416609
Albania,2003-01-01,1846.12012081207,18.200001,18.700001,34.799999,2.8,434588,33277,401310
Albania,2004-01-01,2373.58129170055,18.9,18.1,33.599998,2.8,422860,33057,389803
Albania,2005-01-01,2673.78780296036,19.0,18.200001,33.599998,2.9000001,426583,34169,392414
Albania,2006-01-01,2972.74361818169,19.1,18.4,33.799999,3.0,433852,35832,398020
Albania,2007-01-01,3595.03830207997,19.200001,18.700001,34.299999,3.2,443830,37914,405916
Albania,2008-01-01,4370.53971115737,19.200001,19.1,34.900002,3.4000001,455797,40251,415547
Albania,2009-01-01,4114.13404061058,19.299999,19.5,35.599998,3.5,469352,42768,426584
Albania,2010-01-01,4094.34969883571,19.5,19.799999,36.200001,3.5999999,481678,44575,437103
Albania,2011-01-01,4437.14114631148,19.700001,20.1,36.700001,3.8,494981,46461,448520
Albania,2012-01-01,4247.63135624709,19.9,20.5,37.299999,3.9000001,509040,48426,460614
Algeria,1980-01-01,2259.72436706497,19.1,15.6,30.5,0.80000001,1636110,44442,1591668
Algeria,1981-01-01,2291.75592419291,18.9,15.7,30.6,0.80000001,1696285,45828,1650458
Algeria,1982-01-01,2260.34768841339,18.799999,15.7,30.700001,0.80000001,1759249,47141,1712108
Algeria,1983-01-01,2359.59326446697,18.700001,15.8,30.799999,0.80000001,1826283,48495,1777788
Algeria,1984-01-01,2510.03683345218,18.5,15.8,30.9,0.80000001,1896411,49825,1846585
Algeria,1985-01-01,2617.72544861118,18.299999,15.9,31.0,0.80000001,1969586,51172,1918414
Algeria,1986-01-01,2783.4312199483,18.200001,15.9,31.1,0.80000001,2045829,52557,1993272
Algeria,1987-01-01,2829.87946855136,18.1,16.0,31.200001,0.80000001,2125295,53944,2071351
Algeria,1988-01-01,2437.37806037531,18.0,16.1,31.299999,0.80000001,2211486,55520,2155965
Algeria,1989-01-01,2235.26802420633,17.799999,16.200001,31.5,0.80000001,2302051,57180,2244871
Algeria,1990-01-01,2431.55126920399,17.700001,16.299999,31.700001,0.80000001,2396876,58967,2337909
Algeria,1991-01-01,1749.28608748967,17.6,16.4,31.9,0.80000001,2497165,60977,2436188
Algeria,1992-01-01,1794.62350740515,17.4,16.5,32.099998,0.80000001,2602202,62893,2539310
Algeria,1993-01-01,1825.87512263745,17.299999,16.6,32.299999,0.80000001,2714059,64808,2649251
Algeria,1994-01-01,1522.82521008773,17.200001,16.700001,32.5,0.80000001,2831649,66621,2765029
Algeria,1995-01-01,1466.54469063382,17.0,16.799999,32.799999,0.80000001,2954172,68475,2885697
Algeria,1996-01-01,1619.53240256749,16.799999,16.9,33.0,0.80000001,3081682,70447,3011235
Algeria,1997-01-01,1634.46740988129,17.0,16.700001,32.400002,0.80000001,3138907,72246,3066661
Algeria,1998-01-01,1610.30296847507,17.200001,16.299999,31.799999,0.80000001,3190250,73875,3116375
Algeria,1999-01-01,1602.8649145582,17.4,16.1,31.200001,0.80000001,3243047,75392,3167655
Algeria,2000-01-01,1780.37607069151,17.5,15.8,30.700001,0.69999999,3296121,76851,3219270
Algeria,2001-01-01,1754.58236476294,17.700001,15.5,30.1,0.69999999,3344091,78444,3265647
Algeria,2002-01-01,1794.811114232,18.0,15.2,29.5,0.69999999,3378788,80134,3298655
Algeria,2003-01-01,2117.04822899287,18.799999,14.4,27.9,0.69999999,3297692,81728,3215964
Algeria,2004-01-01,2624.79523151946,19.700001,13.6,26.4,0.69999999,3205753,83812,3121941
Algeria,2005-01-01,3131.32817565242,20.700001,12.9,24.9,0.69999999,3115071,86448,3028623
Algeria,2006-01-01,3500.13460988746,21.6,12.3,23.700001,0.69999999,3051530,90939,2960591
Algeria,2007-01-01,3971.80348828223,22.5,11.8,22.700001,0.80000001,2999483,96011,2903472
Algeria,2008-01-01,4946.56401720759,23.299999,11.4,21.9,0.80000001,2962131,101419,2860712
Algeria,2009-01-01,3898.47880576084,24.1,11.1,21.299999,0.80000001,2944512,107066,2837446
Algeria,2010-01-01,4495.92145548343,24.6,10.9,20.799999,0.80000001,2948128,112915,2835213
